原始流派名称,当前代码处理结果,建议合并后简体流派名称,处理建议,理由,人工确认
金发妈妈,金发妈妈,金发妈妈,保留,已是简体中文或通用规格/专名，建议保留,
筋肉,肌肉,肌肉,翻译/合并,与“肌肉、筋肉”统一为同一简体流派,
仅限流媒体播放,仅限流媒体播放,仅限流媒体播放,保留,已是简体中文或通用规格/专名，建议保留,
紧缚,捆绑,捆绑,翻译/合并,与“绑缚、縛り・緊縛、龟甲捆绑、紧缚”等统一为同一简体流派,
紧身裙,紧身裙,紧身裙,保留,已是简体中文或通用规格/专名，建议保留,
紧身衣,紧身衣,紧身衣,保留,已是简体中文或通用规格/专名，建议保留,
緊縛,捆绑,捆绑,翻译/合并,与“绑缚、縛り・緊縛、龟甲捆绑、紧缚”等统一为同一简体流派,
緊身衣,紧身衣,紧身衣,简体/写法统一,与“紧身衣、緊身衣、レオタード”统一为同一简体流派,
近親相姦,乱伦,乱伦,翻译/合并,与“近親相姦、乱伦、亂倫”统一为同一简体流派,
经期,经期,经期,保留,已是简体中文或通用规格/专名，建议保留,
精选合集,精选合集,合集,调整现有映射,当前会处理为“精选合集”，建议修正语义或与同义项统一,
精液,精液,精液,保留,已是简体中文或通用规格/专名，建议保留,
精饮,精饮,吞精,翻译/合并,与“喝口水、精饮、吞精、ごっくん”统一为同一简体流派,
精致身材,精致身材,完美身材,翻译/合并,与“精致身材、完美身材”统一为同一简体流派,
痉挛,痉挛,痉挛,保留,已是简体中文或通用规格/专名，建议保留,
競泳・スクール水着,学校泳装,学校泳装,翻译/合并,与“競泳・スクール水着、学校泳装、學校泳裝”统一为同一简体流派,
酒店,酒店,酒店,保留,已是简体中文或通用规格/专名，建议保留,
酒店风俗女,酒店风俗女,酒店风俗女,保留,已是简体中文或通用规格/专名，建议保留,
拘束,捆绑,捆绑,翻译/合并,与“绑缚、縛り・緊縛、龟甲捆绑、紧缚”等统一为同一简体流派,
局部特写,局部特写,局部特写,保留,已是简体中文或通用规格/专名，建议保留,
局部特寫,局部特写,局部特写,简体/写法统一,与“局部特写、局部特寫、局部アップ”统一为同一简体流派,
局部アップ,局部特写,局部特写,翻译/合并,与“局部特写、局部特寫、局部アップ”统一为同一简体流派,
巨大假阳具,巨大假阳具,巨大假阳具,保留,已是简体中文或通用规格/专名，建议保留,
巨根,巨根,巨根,保留,已是简体中文或通用规格/专名，建议保留,
巨尻,巨臀,巨臀,翻译/合并,与“巨尻、巨臀”统一为同一简体流派,
巨乳,巨乳,巨乳,保留,已是简体中文或通用规格/专名，建议保留,
巨乳｜,巨乳｜,巨乳,翻译/合并,与“爆乳、巨乳、巨乳｜、巨乳爆乳”统一为同一简体流派,
巨乳爆乳,巨乳爆乳,巨乳,翻译/合并,与“爆乳、巨乳、巨乳｜、巨乳爆乳”统一为同一简体流派,
巨乳恋物,巨乳恋物,巨乳恋物,保留,已是简体中文或通用规格/专名，建议保留,
巨乳妈妈,巨乳妈妈,巨乳妈妈,保留,已是简体中文或通用规格/专名，建议保留,
巨乳フェチ,巨乳恋物,巨乳恋物,翻译/合并,与“巨乳恋物、巨乳フェチ”统一为同一简体流派,
巨臀,巨臀,巨臀,保留,已是简体中文或通用规格/专名，建议保留,
剧情,剧情,剧情,保留,已是简体中文或通用规格/专名，建议保留,
卷发,卷发,卷发,保留,已是简体中文或通用规格/专名，建议保留,
开腿姿势,开腿姿势,开腿,翻译/合并,与“开腿姿势、開脚”统一为同一简体流派,
開脚,開脚,开腿,翻译/合并,与“开腿姿势、開脚”统一为同一简体流派,
看護婦・ナース,护士,护士,翻译/合并,与“护士、看護婦・ナース”统一为同一简体流派,
尻フェチ,臀部,臀部,翻译/合并,与“尻フェチ、屁股、臀部、お尻”统一为同一简体流派,
拷問,折磨,折磨,翻译/合并,与“拷問、折磨”统一为同一简体流派,
科幻,科幻,科幻,保留,已是简体中文或通用规格/专名，建议保留,
可爱,可爱,可爱,保留,已是简体中文或通用规格/专名，建议保留,
可爱日本人,可爱日本人,可爱日本人,保留,已是简体中文或通用规格/专名，建议保留,
客人,客人,客人,保留,已是简体中文或通用规格/专名，建议保留,
空姐,空姐,空姐,保留,已是简体中文或通用规格/专名，建议保留,
空中小姐,空姐,空姐,翻译/合并,与“空姐、空中小姐、スチュワーデス”统一为同一简体流派,
恐怖,恐怖,恐怖,保留,已是简体中文或通用规格/专名，建议保留,
口爆,口爆,口爆,保留,已是简体中文或通用规格/专名，建议保留,
口交,口交,口交,保留,已是简体中文或通用规格/专名，建议保留,
口交/射精,口交/射精,口交/射精,保留,已是简体中文或通用规格/专名，建议保留,
口交/颜射,口交/颜射,口交/颜射,保留,已是简体中文或通用规格/专名，建议保留,
口内発射,口内射精,口内射精,翻译/合并,与“口内発射、口内射精”统一为同一简体流派,
口内射精,口内射精,口内射精,保留,已是简体中文或通用规格/专名，建议保留,
口塞,口塞,堵嘴,翻译/合并,与“堵嘴·喜剧、口塞”统一为同一简体流派,
跨性别/变性者,跨性别/变性者,跨性别/变性者,保留,已是简体中文或通用规格/专名，建议保留,
捆绑,捆绑,捆绑,保留,已是简体中文或通用规格/专名，建议保留,
捆綁,捆綁,捆绑,简体/写法统一,与“绑缚、縛り・緊縛、龟甲捆绑、紧缚”等统一为同一简体流派,
扩张,扩张,扩张,保留,已是简体中文或通用规格/专名，建议保留,
扩张穴,扩张穴,扩张穴,保留,已是简体中文或通用规格/专名，建议保留,
蜡烛,蜡烛,蜡烛,保留,已是简体中文或通用规格/专名，建议保留,
蝋燭,蜡烛,蜡烛,翻译/合并,与“蜡烛、蝋燭”统一为同一简体流派,
辣妹,辣妹,辣妹,保留,已是简体中文或通用规格/专名，建议保留,
啦啦队,啦啦队,啦啦队,保留,已是简体中文或通用规格/专名，建议保留,
蓝领,蓝领,蓝领,保留,已是简体中文或通用规格/专名，建议保留,
烂醉如泥的,烂醉如泥的,烂醉如泥的,保留,已是简体中文或通用规格/专名，建议保留,
滥交,滥交,滥交,保留,已是简体中文或通用规格/专名，建议保留,
濫交,滥交,滥交,翻译/合并,与“滥交、濫交、乱交”统一为同一简体流派,
爛醉如泥的,烂醉如泥的,烂醉如泥的,翻译/合并,与“烂醉如泥的、爛醉如泥的”统一为同一简体流派,
浪叫,浪叫,淫叫,翻译/合并,翻译为简体中文或修正不自然写法,
浪漫喜剧,浪漫喜剧,浪漫喜剧,保留,已是简体中文或通用规格/专名，建议保留,
立即口交,立即性爱,立即性爱,翻译/合并,与“即ハメ、立即口交、立即性爱”统一为同一简体流派,
立即骑乘,立即骑乘,立即骑乘,保留,已是简体中文或通用规格/专名，建议保留,
立即性爱,立即性爱,立即性爱,保留,已是简体中文或通用规格/专名，建议保留,
连裤袜/丝袜,连裤袜/丝袜,连裤袜/丝袜,保留,已是简体中文或通用规格/专名，建议保留,
连续内射,连续内射,连续内射,保留,已是简体中文或通用规格/专名，建议保留,
连续无套中出,连续无套中出,连续无套中出,保留,已是简体中文或通用规格/专名，建议保留,
连续颜射,连续颜射,连续颜射,保留,已是简体中文或通用规格/专名，建议保留,
连续中出,连续中出,连续中出,保留,已是简体中文或通用规格/专名，建议保留,
连衣裙,连衣裙,连衣裙,保留,已是简体中文或通用规格/专名，建议保留,
連褲襪,连裤袜/丝袜,连裤袜/丝袜,翻译/合并,与“连裤袜/丝袜、連褲襪、パンスト”统一为同一简体流派,
恋爱/情侣,恋爱/情侣,恋爱/情侣,保留,已是简体中文或通用规格/专名，建议保留,
恋愛,恋爱/情侣,恋爱/情侣,翻译/合并,与“恋爱/情侣、恋愛、戀愛、情侶”等统一为同一简体流派,
恋乳癖,恋乳癖,恋乳癖,保留,已是简体中文或通用规格/专名，建议保留,
恋物癖,恋物癖,恋物癖,保留,已是简体中文或通用规格/专名，建议保留,
戀愛,恋爱/情侣,恋爱/情侣,翻译/合并,与“恋爱/情侣、恋愛、戀愛、情侶”等统一为同一简体流派,
戀乳癖,恋乳癖,恋乳癖,简体/写法统一,与“恋乳癖、戀乳癖”统一为同一简体流派,
戀腿癖,腿控,腿控,翻译/合并,与“脚フェチ、戀腿癖、腿控”统一为同一简体流派,
猎艳,猎艳,猎艳,保留,已是简体中文或通用规格/专名，建议保留,
獵豔,猎艳,猎艳,翻译/合并,与“猎艳、獵豔、ナンパ”统一为同一简体流派,
邻居,邻居,邻居,保留,已是简体中文或通用规格/专名，建议保留,
淋浴,淋浴,淋浴,保留,已是简体中文或通用规格/专名，建议保留,
凌辱,凌辱,凌辱,保留,已是简体中文或通用规格/专名，建议保留,
流汗,流汗,汗流浃背,翻译/合并,与“汗流浃背、汗だく、流汗”统一为同一简体流派,
六九式,六九式,69,翻译/合并,与“69、六九式、シックスナイン”统一为同一简体流派,
露肩毛衣,露肩毛衣,露肩毛衣,保留,已是简体中文或通用规格/专名，建议保留,
露乳,露乳,露乳,保留,已是简体中文或通用规格/专名，建议保留,
旅行,旅行,旅行,保留,已是简体中文或通用规格/专名，建议保留,
绿帽,绿帽,绿帽,保留,已是简体中文或通用规格/专名，建议保留,
乱交,滥交,滥交,翻译/合并,与“滥交、濫交、乱交”统一为同一简体流派,
乱伦,乱伦,乱伦,保留,已是简体中文或通用规格/专名，建议保留,
亂倫,乱伦,乱伦,翻译/合并,与“近親相姦、乱伦、亂倫”统一为同一简体流派,
轮奸,轮奸,轮奸,保留,已是简体中文或通用规格/专名，建议保留,
輪姦,轮奸,轮奸,简体/写法统一,与“轮奸、輪姦”统一为同一简体流派,
輪姦中出し,輪奸中出し,轮奸内射,翻译/合并,繁体、日文汉字或全角写法统一为简体/半角形式,
萝莉,萝莉,萝莉,保留,已是简体中文或通用规格/专名，建议保留,
萝莉塔,萝莉塔,萝莉塔,保留,已是简体中文或通用规格/专名，建议保留,
蘿莉塔,萝莉塔,萝莉塔,翻译/合并,与“萝莉塔、蘿莉塔、ロリ、ロリ系”统一为同一简体流派,
裸体袜子,裸体袜子,裸体袜子,保留,已是简体中文或通用规格/专名，建议保留,
裸体围裙,裸体围裙,裸体围裙,保留,已是简体中文或通用规格/专名，建议保留,
裸體圍裙,裸体围裙,裸体围裙,简体/写法统一,与“裸体围裙、裸體圍裙、裸围裙、裸エプロン”统一为同一简体流派,
裸围裙,裸围裙,裸体围裙,翻译/合并,与“裸体围裙、裸體圍裙、裸围裙、裸エプロン”统一为同一简体流派,
裸エプロン,裸体围裙,裸体围裙,翻译/合并,与“裸体围裙、裸體圍裙、裸围裙、裸エプロン”统一为同一简体流派,
妈妈朋友,妈妈朋友,妈妈朋友,保留,已是简体中文或通用规格/专名，建议保留,
媽媽,媽媽,母亲,翻译/合并,与“媽媽、母亲、母親、お母さん”统一为同一简体流派,
马尾,马尾,马尾,保留,已是简体中文或通用规格/专名，建议保留,
罵倒,辱骂/责骂,辱骂/责骂,翻译/合并,与“罵倒、辱骂/责骂”统一为同一简体流派,
蠻橫嬌羞,傲娇,傲娇,翻译/合并,与“傲娇、蠻橫嬌羞、ツンデレ”统一为同一简体流派,
满口,满口,满口,保留,已是简体中文或通用规格/专名，建议保留,
猫耳女,猫耳女,猫耳女,保留,已是简体中文或通用规格/专名，建议保留,
猫眼,猫眼,猫眼,保留,已是简体中文或通用规格/专名，建议保留,
毛衣,毛衣,毛衣,保留,已是简体中文或通用规格/专名，建议保留,
美白,美白,美白,保留,已是简体中文或通用规格/专名，建议保留,
美肌,美肌,美肌,保留,已是简体中文或通用规格/专名，建议保留,
美脚,美腿,美腿,翻译/合并,与“美脚、美腿”统一为同一简体流派,
美尻,美臀,美臀,翻译/合并,与“美尻、美臀、漂亮屁股”统一为同一简体流派,
美女,美女,美女,保留,已是简体中文或通用规格/专名，建议保留,
美人,美人,美女,翻译/合并,与“美女、美人”统一为同一简体流派,
美容院,美容院/按摩,美容院/按摩,翻译/合并,与“美容院、美容院/按摩、エステ、エステ・マッサージ”统一为同一简体流派,
美容院/按摩,美容院/按摩,美容院/按摩,保留,已是简体中文或通用规格/专名，建议保留,
美乳,美乳,美乳,保留,已是简体中文或通用规格/专名，建议保留,
美少女,美少女,美少女,保留,已是简体中文或通用规格/专名，建议保留,
美少女｜,美少女｜,美少女,翻译/合并,与“美少女、美少女｜”统一为同一简体流派,
美少女電影,美少女電影,美少女电影,简体/写法统一,繁体、日文汉字或全角写法统一为简体/半角形式,
美熟女,熟女,熟女,翻译/合并,与“成熟的女人、美熟女、熟女”统一为同一简体流派,
美腿,美腿,美腿,保留,已是简体中文或通用规格/专名，建议保留,
美臀,美臀,美臀,保留,已是简体中文或通用规格/专名，建议保留,
美穴,美穴,美穴,保留,已是简体中文或通用规格/专名，建议保留,
美マン,美マン,美穴,翻译/合并,语义或来源可能有歧义，建议结合实际影片样本确认,需确认
妹妹,妹妹,妹妹,保留,已是简体中文或通用规格/专名，建议保留,
门口,门口,门口,保留,已是简体中文或通用规格/专名，建议保留,
蒙面,蒙面,蒙面,保留,已是简体中文或通用规格/专名，建议保留,
猛烈,猛烈,激烈,翻译/合并,翻译为简体中文或修正不自然写法,
迷你,迷你,迷你,保留,已是简体中文或通用规格/专名，建议保留,
迷你裙,迷你裙,迷你裙,保留,已是简体中文或通用规格/专名，建议保留,
迷你裙警察,迷你裙警察,迷你裙警察,保留,已是简体中文或通用规格/专名，建议保留,
迷你系列,迷你系列,迷你系列,保留,已是简体中文或通用规格/专名，建议保留,
迷你係列,迷你系列,迷你系列,简体/写法统一,与“迷你系列、迷你係列”统一为同一简体流派,
秘书,秘书,秘书,保留,已是简体中文或通用规格/专名，建议保留,
秘書,秘书,秘书,翻译/合并,与“秘书、秘書”统一为同一简体流派,
面接,采访,面试,调整现有映射,当前会处理为“采访”，建议修正语义或与同义项统一,
面试,面试,面试,保留,已是简体中文或通用规格/专名，建议保留,
面試,面試,面试,翻译/合并,与“面接、面试、面試”统一为同一简体流派,
苗条,苗条,苗条,保留,已是简体中文或通用规格/专名，建议保留,
苗条身材,苗条身材,苗条身材,保留,已是简体中文或通用规格/专名，建议保留,
苗條,苗条,苗条,翻译/合并,与“苗条、苗條、スレンダー”统一为同一简体流派,
敏感,敏感,敏感,保留,已是简体中文或通用规格/专名，建议保留,
名人,名人,名人,保留,已是简体中文或通用规格/专名，建议保留,
明星脸,明星脸,明星脸,保留,已是简体中文或通用规格/专名，建议保留,
模特,模特,模特,保留,已是简体中文或通用规格/专名，建议保留,
模特兒,模特,模特,翻译/合并,与“模特、模特兒、モデル、モデル系”统一为同一简体流派,
摩擦,摩擦,摩擦,保留,已是简体中文或通用规格/专名，建议保留,
魔女,魔女,女巫,翻译/合并,翻译为简体中文或修正不自然写法,
母亲,母亲,母亲,保留,已是简体中文或通用规格/专名，建议保留,
母親,母亲,母亲,简体/写法统一,与“媽媽、母亲、母親、お母さん”统一为同一简体流派,
母乳,母乳,母乳,保留,已是简体中文或通用规格/专名，建议保留,
目線,目線,视线,翻译/合并,语义或来源可能有歧义，建议结合实际影片样本确认,需确认
沐浴,沐浴,沐浴,保留,已是简体中文或通用规格/专名，建议保留,
奶奶,奶奶,奶奶,保留,已是简体中文或通用规格/专名，建议保留,
男性喷水,男性喷水,男性喷水,保留,已是简体中文或通用规格/专名，建议保留,
男友的朋友,男友的朋友,男友的朋友,保留,已是简体中文或通用规格/专名，建议保留,
男の潮吹き,男性喷水,男性喷水,翻译/合并,与“男性喷水、男の潮吹き”统一为同一简体流派,
南国度假地,南国度假地,热带度假地,翻译/合并,翻译为简体中文或修正不自然写法,
內衣,内衣,内衣,简体/写法统一,与“內衣、内衣、ランジェリー”统一为同一简体流派,
内裤,内裤,内裤,保留,已是简体中文或通用规格/专名，建议保留,
内嵌字幕,内嵌字幕,内嵌字幕,保留,已是简体中文或通用规格/专名，建议保留,
内射,内射,内射,保留,已是简体中文或通用规格/专名，建议保留,
内衣,内衣,内衣,保留,已是简体中文或通用规格/专名，建议保留,
逆骑乘位,逆骑乘位,逆骑乘位,保留,已是简体中文或通用规格/专名，建议保留,
逆强奸,逆强奸,逆强奸,保留,已是简体中文或通用规格/专名，建议保留,
逆ナン,倒追,倒追,翻译/合并,与“倒追、逆ナン”统一为同一简体流派,
娘・養女,女儿/继女,女儿/继女,翻译/合并,与“娘・養女、女儿/继女”统一为同一简体流派,
牛仔裤,牛仔裤,牛仔裤,保留,已是简体中文或通用规格/专名，建议保留,
奴役,奴役,奴役,保留,已是简体中文或通用规格/专名，建议保留,
女部长,女部长,女部长,保留,已是简体中文或通用规格/专名，建议保留,
女大学生,女大学生,女大学生,保留,已是简体中文或通用规格/专名，建议保留,
女大學生,女大学生,女大学生,简体/写法统一,与“女大学生、女大學生、女子大生”统一为同一简体流派,
女儿/继女,女儿/继女,女儿/继女,保留,已是简体中文或通用规格/专名，建议保留,
女祭司,女祭司,女祭司,保留,已是简体中文或通用规格/专名，建议保留,
女检察官,女检察官,女检察官,保留,已是简体中文或通用规格/专名，建议保留,
女檢察官,女检察官,女检察官,简体/写法统一,与“女检察官、女檢察官、女捜査官”统一为同一简体流派,
女教师,女教师,女教师,保留,已是简体中文或通用规格/专名，建议保留,
女教師,女教师,女教师,简体/写法统一,与“女教师、女教師”统一为同一简体流派,
女老板,女老板,女老板,保留,已是简体中文或通用规格/专名，建议保留,
女仆,女佣,女佣,翻译/合并,与“女仆、女佣、女傭、メイド”统一为同一简体流派,
女忍者,女忍者,女忍者,保留,已是简体中文或通用规格/专名，建议保留,
女上司,女老板,女上司,调整现有映射,当前会处理为“女老板”，建议修正语义或与同义项统一,
女上位,骑乘位,骑乘位,翻译/合并,与“女上位、骑乘位、騎乗位”统一为同一简体流派,
女生,女生,女生,保留,已是简体中文或通用规格/专名，建议保留,
女施虐,女施虐,女施虐,保留,已是简体中文或通用规格/专名，建议保留,
女捜査官,女检察官,女检察官,翻译/合并,与“女检察官、女檢察官、女捜査官”统一为同一简体流派,
女体料理,女体料理,女体盛,翻译/合并,翻译为简体中文或修正不自然写法,
女同接吻,女同接吻,女同接吻,保留,已是简体中文或通用规格/专名，建议保留,
女同性恋,女同性恋,女同性恋,保留,已是简体中文或通用规格/专名，建议保留,
女同性戀,女同性恋,女同性恋,简体/写法统一,与“女同性恋、女同性戀、レズ”统一为同一简体流派,
女王手交,女王手交,女王手交,保留,已是简体中文或通用规格/专名，建议保留,
女王様,女施虐,女施虐,翻译/合并,与“女施虐、女王様”统一为同一简体流派,
女性高潮,女性高潮,女性高潮,保留,已是简体中文或通用规格/专名，建议保留,
女性向け,给女性观众,给女性观众,翻译/合并,与“给女性观众、給女性觀眾、女性向け”统一为同一简体流派,
女演员,女演员,女优,翻译/合并,与“女演员、女优、女优物、女優”等统一为同一简体流派,
女医,女医生,女医生,翻译/合并,与“女医、女医生、女醫生”统一为同一简体流派,
女医生,女医生,女医生,保留,已是简体中文或通用规格/专名，建议保留,
女醫生,女医生,女医生,简体/写法统一,与“女医、女医生、女醫生”统一为同一简体流派,
女佣,女佣,女佣,保留,已是简体中文或通用规格/专名，建议保留,
女佣角色扮演,女佣角色扮演,女佣角色扮演,保留,已是简体中文或通用规格/专名，建议保留,
女傭,女佣,女佣,翻译/合并,与“女仆、女佣、女傭、メイド”统一为同一简体流派,
女优,女优,女优,保留,已是简体中文或通用规格/专名，建议保留,
女优精选合集,女优精选合集,女优精选合集,保留,已是简体中文或通用规格/专名，建议保留,
女优物,女优物,女优,翻译/合并,与“女演员、女优、女优物、女優”等统一为同一简体流派,
女優,女优,女优,简体/写法统一,与“女演员、女优、女优物、女優”等统一为同一简体流派,
女優按摩棒,电动按摩棒,按摩棒,翻译/合并,与“电动按摩棒、电动按摩器、電マ、女優按摩棒”统一为同一简体流派,
女優ベスト・総集編,最佳女演员/合集,最佳女演员/合集,翻译/合并,与“女優ベスト・総集編、最佳女演员/合集”统一为同一简体流派,
女战士,女战士,女战士,保留,已是简体中文或通用规格/专名，建议保留,
女戦士,女战士,女战士,翻译/合并,与“女战士、女戦士”统一为同一简体流派,
女主播,女主播,女主播,保留,已是简体中文或通用规格/专名，建议保留,
女主人,女主人,女主人,保留,已是简体中文或通用规格/专名，建议保留,
女装・男の娘,人妖/伪娘,人妖/伪娘,翻译/合并,与“女装・男の娘、女裝人妖、人妖/伪娘”统一为同一简体流派,
女裝人妖,人妖/伪娘,人妖/伪娘,翻译/合并,与“女装・男の娘、女裝人妖、人妖/伪娘”统一为同一简体流派,
女子大生,女大学生,女大学生,翻译/合并,与“女大学生、女大學生、女子大生”统一为同一简体流派,
女子校生,女子校生,高中女生,调整现有映射,当前会处理为“女子校生”，建议修正语义或与同义项统一,
女子校生制服,女子校生制服,高中女生制服,翻译/合并,翻译为简体中文或修正不自然写法,
女子アナ,女主播,女主播,翻译/合并,与“女主播、女子アナ”统一为同一简体流派,
女尊男卑,女尊男卑,女尊男卑,保留,已是简体中文或通用规格/专名，建议保留,
呕吐,呕吐,呕吐,保留,已是简体中文或通用规格/专名，建议保留,
偶像,偶像艺人,偶像艺人,翻译/合并,与“偶像、偶像艺人、偶像藝人、アイドル”等统一为同一简体流派,
偶像艺人,偶像艺人,偶像艺人,保留,已是简体中文或通用规格/专名，建议保留,
偶像藝人,偶像艺人,偶像艺人,翻译/合并,与“偶像、偶像艺人、偶像藝人、アイドル”等统一为同一简体流派,
排便,排便,排便,保留,已是简体中文或通用规格/专名，建议保留,
派对游戏,派对游戏,派对游戏,保留,已是简体中文或通用规格/专名，建议保留,
胖女人,丰满/微胖,丰满/微胖,翻译/合并,与“丰满/微胖、胖女人”统一为同一简体流派,
泡泡袜,泡泡袜,泡泡袜,保留,已是简体中文或通用规格/专名，建议保留,
泡泡襪,泡泡袜,泡泡袜,翻译/合并,与“泡泡袜、泡泡襪、ルーズソックス”统一为同一简体流派,
泡泡浴,泡泡浴,泡泡浴,保留,已是简体中文或通用规格/专名，建议保留,
陪酒女,陪酒女,陪酒女,保留,已是简体中文或通用规格/专名，建议保留,
配信専用,仅限流媒体播放,仅限流媒体播放,翻译/合并,与“仅限流媒体播放、配信専用”统一为同一简体流派,
朋友,朋友,朋友,保留,已是简体中文或通用规格/专名，建议保留,
屁股,臀部,臀部,翻译/合并,与“尻フェチ、屁股、臀部、お尻”统一为同一简体流派,
漂亮屁股,漂亮屁股,美臀,翻译/合并,与“美尻、美臀、漂亮屁股”统一为同一简体流派,
贫乳,贫乳,贫乳/微乳,翻译/合并,与“贫乳、贫乳/微乳、貧乳・微乳、平胸”统一为同一简体流派,
贫乳/微乳,贫乳/微乳,贫乳/微乳,保留,已是简体中文或通用规格/专名，建议保留,
貧乳・微乳,贫乳/微乳,贫乳/微乳,翻译/合并,与“贫乳、贫乳/微乳、貧乳・微乳、平胸”统一为同一简体流派,
平胸,平胸,贫乳/微乳,翻译/合并,与“贫乳、贫乳/微乳、貧乳・微乳、平胸”统一为同一简体流派,
婆婆,继母/义母,继母/义母,翻译/合并,与“继母/义母、婆婆、義母”统一为同一简体流派,
破解,破解/流出,破解/流出,翻译/合并,与“破解、破解/流出”统一为同一简体流派,
破解/流出,破解/流出,破解/流出,保留,已是简体中文或通用规格/专名，建议保留,
其他,其他,其他,保留,已是简体中文或通用规格/专名，建议保留,
其他恋物癖,其他恋物癖,其他恋物癖,保留,已是简体中文或通用规格/专名，建议保留,
其他戀物癖,其他恋物癖,其他恋物癖,简体/写法统一,与“其他恋物癖、其他戀物癖、その他フェチ”统一为同一简体流派,
骑乘位,骑乘位,骑乘位,保留,已是简体中文或通用规格/专名，建议保留,
骑乘位中出,骑乘位中出,骑乘位中出,保留,已是简体中文或通用规格/专名，建议保留,
旗袍,旗袍,旗袍,保留,已是简体中文或通用规格/专名，建议保留,
騎乗位,骑乘位,骑乘位,简体/写法统一,与“女上位、骑乘位、騎乗位”统一为同一简体流派,
企划,企划,企划,保留,已是简体中文或通用规格/专名，建议保留,
企画,企划,企划,翻译/合并,与“企划、企画、企畫、企劃物”统一为同一简体流派,
企畫,企划,企划,翻译/合并,与“企划、企画、企畫、企劃物”统一为同一简体流派,
企劃物,企劃物,企划,翻译/合并,与“企划、企画、企畫、企劃物”统一为同一简体流派,
汽車性愛,车内性爱,车内性爱,翻译/合并,与“车内性爱、汽車性愛、カーセックス”统一为同一简体流派,
器械,器械,器械,保留,已是简体中文或通用规格/专名，建议保留,
器械训练,器械训练,器械训练,保留,已是简体中文或通用规格/专名，建议保留,
千金小姐,千金小姐,千金小姐,保留,已是简体中文或通用规格/专名，建议保留,
前模特,前模特,前模特,保留,已是简体中文或通用规格/专名，建议保留,
強姦,强奸,强奸,翻译/合并,与“強姦、强奸”统一为同一简体流派,
强奸,强奸,强奸,保留,已是简体中文或通用规格/专名，建议保留,
亲人,亲人,亲人,保留,已是简体中文或通用规格/专名，建议保留,
寝取り・寝取られ,绿帽,绿帽,翻译/合并,与“绿帽、寝取り・寝取られ”统一为同一简体流派,
青梅竹马,青梅竹马,青梅竹马,保留,已是简体中文或通用规格/专名，建议保留,
轻熟女/姐姐,轻熟女/姐姐,轻熟女/姐姐,保留,已是简体中文或通用规格/专名，建议保留,
清楚,清纯,清纯,翻译/合并,与“清楚、清楚系、清纯”统一为同一简体流派,
清楚系,清楚系,清纯,翻译/合并,与“清楚、清楚系、清纯”统一为同一简体流派,
清纯,清纯,清纯,保留,已是简体中文或通用规格/专名，建议保留,
清洁口交,清洁口交,清洁口交,保留,已是简体中文或通用规格/专名，建议保留,
情侶,恋爱/情侣,恋爱/情侣,翻译/合并,与“恋爱/情侣、恋愛、戀愛、情侶”等统一为同一简体流派,
情趣椅,情趣椅,情趣椅,保留,已是简体中文或通用规格/专名，建议保留,
情人,情人,情人,保留,已是简体中文或通用规格/专名，建议保留,
拳交,拳交,拳交,保留,已是简体中文或通用规格/专名，建议保留,
裙底偷窥,裙底偷窥,裙底偷窥,保留,已是简体中文或通用规格/专名，建议保留,
裙子,裙子,裙子,保留,已是简体中文或通用规格/专名，建议保留,
群交,群交,群交,保留,已是简体中文或通用规格/专名，建议保留,
热裤,热裤,热裤,保留,已是简体中文或通用规格/专名，建议保留,
人妻,人妻,人妻,保留,已是简体中文或通用规格/专名，建议保留,
人氣系列,人氣系列,人气系列,翻译/合并,翻译为简体中文或修正不自然写法,
人妖/伪娘,人妖/伪娘,人妖/伪娘,保留,已是简体中文或通用规格/专名，建议保留,
妊婦,孕妇,孕妇,翻译/合并,与“妊婦、孕妇、孕婦”统一为同一简体流派,
妊娠,妊娠,怀孕,翻译/合并,与“妊娠、孕ませ”统一为同一简体流派,
日本局部特写,日本局部特写,日本局部特写,保留,已是简体中文或通用规格/专名，建议保留,
日本人妻,日本人妻,人妻,翻译/合并,与“人妻、日本人妻、太太、已婚婦女”统一为同一简体流派,
日光浴,日光浴,日光浴,保留,已是简体中文或通用规格/专名，建议保留,
日焼け,日光浴,晒黑,调整现有映射,当前会处理为“日光浴”，建议修正语义或与同义项统一,
柔软身体,柔软身体,柔软身体,保留,已是简体中文或通用规格/专名，建议保留,
乳房,乳房,乳房,保留,已是简体中文或通用规格/专名，建议保留,
乳交,乳交,乳交,保留,已是简体中文或通用规格/专名，建议保留,
乳首,乳首,乳头,翻译/合并,翻译为简体中文或修正不自然写法,
乳首刺激,乳首刺激,乳头刺激,翻译/合并,翻译为简体中文或修正不自然写法,
乳首吸吮,乳首吸吮,乳头吸吮,翻译/合并,翻译为简体中文或修正不自然写法,
乳液,润滑油,润滑油,翻译/合并,与“乳液、润滑剂、润滑油、ローション”等统一为同一简体流派,
辱骂/责骂,辱骂/责骂,辱骂/责骂,保留,已是简体中文或通用规格/专名，建议保留,
辱め,凌辱,凌辱,翻译/合并,与“凌辱、辱め”统一为同一简体流派,
软核,软核,软核,保留,已是简体中文或通用规格/专名，建议保留,
软体,软体,柔软身体,翻译/合并,与“柔软身体、软体、軟体”统一为同一简体流派,
軟体,柔软身体,柔软身体,翻译/合并,与“柔软身体、软体、軟体”统一为同一简体流派,
